# mc tfmc 200 20 300.0 300.0 0.20 12345 com 1 1 1 
# num_MD_steps  acceptance_ratio [species_concentrations]
# tfMC (time-stamped force-bias Monte Carlo)
# num_MD_steps  temperature  num_MC_trials
200  300  20
400  300  20
600  300  20
800  300  20
1000  300  20
1200  300  20
1400  300  20
1600  300  20
1800  300  20
2000  300  20
2200  300  20
2400  300  20
2600  300  20
2800  300  20
3000  300  20
3200  300  20
3400  300  20
3600  300  20
3800  300  20
4000  300  20
4200  300  20
# mc tfmc 200 20 300.0 300.0 0.020 12345 com 1 1 1 
# num_MD_steps  acceptance_ratio [species_concentrations]
# tfMC (time-stamped force-bias Monte Carlo)
# num_MD_steps  temperature  num_MC_trials
200  300  20
400  300  20
600  300  20
800  300  20
1000  300  20
1200  300  20
1400  300  20
1600  300  20
1800  300  20
2000  300  20
2200  300  20
2400  300  20
2600  300  20
2800  300  20
3000  300  20
3200  300  20
3400  300  20
3600  300  20
3800  300  20
4000  300  20
4200  300  20
4400  300  20
4600  300  20
4800  300  20
5000  300  20
5200  300  20
5400  300  20
5600  300  20
5800  300  20
6000  300  20
6200  300  20
6400  300  20
6600  300  20
6800  300  20
7000  300  20
7200  300  20
7400  300  20
7600  300  20
7800  300  20
8000  300  20
8200  300  20
8400  300  20
8600  300  20
8800  300  20
9000  300  20
9200  300  20
9400  300  20
9600  300  20
9800  300  20
10000  300  20
10200  300  20
10400  300  20
10600  300  20
10800  300  20
11000  300  20
11200  300  20
11400  300  20
11600  300  20
11800  300  20
12000  300  20
12200  300  20
12400  300  20
12600  300  20
12800  300  20
13000  300  20
13200  300  20
13400  300  20
13600  300  20
13800  300  20
14000  300  20
14200  300  20
14400  300  20
14600  300  20
14800  300  20
15000  300  20
15200  300  20
15400  300  20
15600  300  20
15800  300  20
16000  300  20
16200  300  20
16400  300  20
16600  300  20
16800  300  20
17000  300  20
17200  300  20
17400  300  20
17600  300  20
17800  300  20
18000  300  20
18200  300  20
18400  300  20
18600  300  20
18800  300  20
19000  300  20
19200  300  20
19400  300  20
19600  300  20
19800  300  20
20000  300  20
20200  300  20
20400  300  20
20600  300  20
20800  300  20
21000  300  20
21200  300  20
21400  300  20
21600  300  20
21800  300  20
22000  300  20
22200  300  20
